,etat,marque,adresse,region,prix,description,image_links
20,Venant,HP,Médina,Dakar,100000 ,"venant des usa hp probook 6470 i5 ram 8 disque 500 go HDD Ecran 14 pouces
Plus d'articles visitez notre showroom ou site ci-dessous","['https://i.roamcdn.net/hz/ed/listing-thumb-543w/051b0c884f505cfed5afef6c0ebc2e7a/-/horizon-files-prod/ed/picture/qkrg0g9v/8c9b919401d4467c3b78aad140cd93ba59d0c044.jpg', 'https://i.roamcdn.net/hz/ed/listing-thumb-543w/3958bd0e54738ce5c9748e19e2bdaefc/-/horizon-files-prod/ed/picture/qkrg0g9v/b3373be85a38471d41349ea7a960c791a3f2a222.jpg', 'https://i.roamcdn.net/hz/ed/listing-thumb-543w/a6f930f2ddd64792d732ffdd446ee6c2/-/horizon-files-prod/ed/picture/qkrg0g9v/60e1a6517ea8dd0c8215d32715787596dae1b15d.jpg', 'https://i.roamcdn.net/hz/ed/listing-thumb-543w/4d5eb474dad13b18eec05d17b7daf962/-/horizon-files-prod/ed/picture/qkrg0g9v/3a759fe9c51ab07ff42739861d764a25a7749c26.jpg']"
21,Venant,HP,Médina,Dakar,85000 ,"🔥🔥🔥ORDINATEUR DE BUREAU HP ELITEDESK 800 G3
Prix abordable
🅒🅐🅡🅐🅒🅣🅔́🅡🅘🅢🅣🅘🅠🅤🅔🅢
🟠 Processeur : Intel cor i5
🟢 Ram : 8 Go
🟠 Disque dur : 500 Go
🟢 Écran : 22 pouces
🟠Garantie : 6 mois
𝑵𝑩 : 𝑻𝑶𝑼𝑺 𝑵𝑶𝑺 𝑷𝑹𝑶𝑫𝑼𝑰𝑻𝑺 𝑽𝑰𝑬𝑵𝑵𝑬𝑵𝑻 𝑫𝑬𝑺 𝑼𝑺𝑨 𝑬𝑻 𝑺𝑶𝑵𝑻 𝑮𝑨𝑹𝑨𝑵𝑻𝑰𝑺 𝟎𝟔 𝑴𝑶𝑰𝑺",['https://i.roamcdn.net/hz/ed/listing-thumb-543w/93bed070bb704de3d3aedb2a72275ace/-/horizon-files-prod/ed/picture/q8v52jm7/69213e2b68582f5d0e7997819b3689cba2d63af9.png']
22,Venant,Lenovo,Médina,Dakar,225000 ,"Voici les spécifications pour le Lenovo X1 Yoga avec un processeur Intel Core i5 de 7ème génération:Processeur: Intel Core i5 de 7ème génération
Poids: 1,36 kg
Dimensions: 333 mm x 229 mm x 17,05 mm
Écran: 14 pouces, 1920 x 1080 pixels
Mémoire vive: 16 Go DDR3
Stockage: 256 Go SSD
Carte graphique: Intel HD Graphics 620
Connectivité: Wi-Fi 802.11ac, Bluetooth 4.1
Ports: 3 ports USB 3.0, 1 port HDMI, 1 port Mini DisplayPort, 1 port Ethernet, 1 port audio
Système d'exploitation: Windows 10 Pro
Ecran tactile
Clavier rétroéclairé.
Etat presque neuf
Garantie 180 jours.","['https://i.roamcdn.net/hz/ed/listing-thumb-543w/2185e6162e5cddcb2845d36a2ccec173/-/horizon-files-prod/ed/picture/qj4r7jze/3c77d1b379ff7d18bad55e984a31e0c80fc720e1.jpg', 'https://i.roamcdn.net/hz/ed/listing-thumb-543w/56bb9eeb6211c1f9886b456718ac6ebb/-/horizon-files-prod/ed/picture/qj4r7jze/19600a3295623b970dd3bd79cf222ea64cb71582.jpg', 'https://i.roamcdn.net/hz/ed/listing-thumb-543w/5c4b9364c11f014e3b771f6882ba33d7/-/horizon-files-prod/ed/picture/qj4r7jze/9d9dd6cf4753db119de6832daf1019eb2939de3a.jpg']"
23,Venant,Dell,Médina,Dakar,150000 ,Loum Usa Informatique vous propose un Ensemble ordinateur de bureau demarque Dell destop core i5 8 giga de ram disque dur 500gb avec 22pouces,['https://i.roamcdn.net/hz/ed/listing-thumb-543w/fc621be1ef931c84b3140a8cf9126718/-/horizon-files-prod/ed/picture/q0gg206w/79aec0a09a046c79c51163d57f6e396589a8d178.jpg']
24,Venant,HP,Médina,Dakar,200000 ,"USA informatique vous propose des ordinateurs de marques et tres authentiques voici un HP 450 G4 core i5 8giga de ram disque dur 500giga 15pouces 7ème génération
Plus d'informations merci de nous contacter",['https://i.roamcdn.net/hz/ed/listing-thumb-543w/7c5bba6d53a1c51fe70a3b2a16d8ad79/-/horizon-files-prod/ed/picture/qdern672/2e1bc343cad0847e32d7cf8383606fee8be2e4c7.jpg']
25,Venant,Lenovo,Médina,Dakar,250000 ,"USA Informatique vous propose tous types d'ordinateurs de plusieurs marques voici un Lenovo T460s core i7 12giga de ram disque dur 256ssd écran 14pouces slim 6ème génération processeur 2.8GHZ
Clavier rétro-éclaire
Plus d'informations merci de nous contacter","['https://i.roamcdn.net/hz/ed/listing-thumb-543w/d5ded291d1f6af8ca39de6e0856c65ce/-/horizon-files-prod/ed/picture/qder4p6w/4a32a950c5343bbeb1463ed839de083ed4826e88.jpg', 'https://i.roamcdn.net/hz/ed/listing-thumb-543w/d34fb30641a5fed6cfb6f960c9afb22c/-/horizon-files-prod/ed/picture/qder4p6w/52148d6eb98f11f60ddd333269d0c8a9193165e3.jpg']"
26,Venant,HP,Médina,Dakar,250000 ,"LOUM USA INFORMATIQUE vous propose un nouvel arrivageoici un Hp 840 G6 core i5 8giga de ram disque dur 256ssd 14pouces 8ème génération
Machine très propre
plus d'informations appeler nous",['https://i.roamcdn.net/hz/ed/listing-thumb-543w/8cfaedd081181ae205a800327f535c48/-/horizon-files-prod/ed/picture/qkr554vn/380ed3ffd184151af00afd005002eb5938092528.jpg']
27,Venant,HP,Médina,Dakar,200000 ,HP Pro X2 612 G2 core i5 8giga de ram disque dur 256ssd écran tactile 13pouces détachable,"['https://i.roamcdn.net/hz/ed/listing-thumb-543w/f7067601ce60f03eea653c024ff179f3/-/horizon-files-prod/ed/picture/qngdzx29/79a293c53fc195b3700cb46680e9aec3dfc0e365.jpg', 'https://i.roamcdn.net/hz/ed/listing-thumb-543w/9fd5b9cd023ef7cb4e27e09c927b6583/-/horizon-files-prod/ed/picture/qngdzx29/14d0bf829c2d2ac31464b516e0e0aaf317557912.jpg']"
28,Venant,HP,Médina,Dakar,90000 ,Hp x360 duo core 4giga de ram disque dur 128ssd 12pouces écran tactile pliable,['https://i.roamcdn.net/hz/ed/listing-thumb-543w/5cd383f688cdf112093c12e505d6a30e/-/horizon-files-prod/ed/picture/qzv46dxg/61b5a69e9e3d407a0903deb0c6e07164ab29e1d7.jpg']
29,Neuf,ASUS,Liberte 6 extension,Dakar,750000 ,"Offre spéciale une machine haute gamme dédié au architecte , infographie ou gamer - Processeur : Intel Core i7 - Ram 16GB - SSD 512GB - NVIDIA GeForce GTX 1080 vram 8GB - Machine avec toutes ses accessoires vendue avec facture et garantie","['https://i.roamcdn.net/hz/ed/listing-thumb-543w/041a4bd5ae97be628792810ae4f74d67/-/horizon-files-prod/ed/picture/qq47kgn4/c2b9d1b2b006a5600f2a95fe9904053abfc7ce7f.jpg', 'https://i.roamcdn.net/hz/ed/listing-thumb-543w/bf6e86b1a501de92350499547ea78da7/-/horizon-files-prod/ed/picture/qq47kgn4/bfbe18442ba04411967f383a119d25a6fb3ac1b3.jpg', 'https://i.roamcdn.net/hz/ed/listing-thumb-543w/af136cdde9b7414f7294ab17a59ef5f0/-/horizon-files-prod/ed/picture/qq47kgn4/becf2672fd06a2f39c487c2b305798b88f20c21d.jpg', 'https://i.roamcdn.net/hz/ed/listing-thumb-543w/0331aacbb567b4cdf0924f83a03a2dd8/-/horizon-files-prod/ed/picture/qq47kgn4/33a26072718b499d2e667bfbba2d5d3df4117c52.jpg', 'https://i.roamcdn.net/hz/ed/listing-thumb-543w/eadd20bdcc39371040182ab1c804e0a9/-/horizon-files-prod/ed/picture/qq47kgn4/38ca7dbd0151efeb7999e1821d088ae8acbdccd3.jpg']"
